,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
What is the problem you want to solve?,Date Submitted,"Who is the customer?
(Paying Customer - Admin, User or Internal Customer - Marketing)",Country,"How do we know it's a problem? (Admin, manager, user, prospect)",Business case: Estimated impact (+assumptions),Proposed Solution (Optional),Customer type - Global/Complex/ Simple,Customer Game Score,"Company Size <100, 101 - 250, 250 - 2000, 2000+",Industry,Link to call recording,Submitted by,Which Team do you expect to pick up?,Status,Reason,Product Manager,Product,Priority,T-shirt sizing estimate (XS < 2 days; S < 2 weeks; M < 4 weeks; L < 8 weeks; XL > 8 weeks),Date submitted,Dependencies,Title,Problem,Solution,Feasibility
"An admin has shared their pain points regarding Rewards: the inability to adjust the ""name"" of the Reward sender (as they can with work anniversary automations). Another issue is that they cannot access a shared RP's wallet and that each admin requires their own allowance. These two points lead them to use a general HR Team PB account, which involves setting up 2FA with a phone number owned by a single person.",29/07/2024,La Orange Limited,UK,Admin,Better customer experience ,"Allowing all RPs in admin wallets to be available by all admins on the account (or adding a third level of permissions to the account), and just like with automations, giving admins an option to type the sender's name, so instead of the employee name, they can type that the Reward comes from the People Team, HR team, CEO etc. ",Simple Domestic,60,<100,Financial Services,,Ewelina Dudzik,Recognition & Rewards,Under Consideration,Ewelina Dudzik- this is under consideration. ,,,,,,
One single points currency on Perkbox. Accident Exchange have fed back that it is very confusing for employees when they recieve their Flexi Points and then they try to spend them in the rewards catalog. They were speaking to a prospect as a Perkbox advocate but the prospect raised that they had found the points confusing. ,30/07/24,Accident Exchange,UK,Admin,Better customer experience ,One currency,,,650,Insurance ,,Kelly Short,Wallet & Payments,,,,,,,,
"A user got in touch with the CH team to ask how they can share a voucher with someone else as a gift. I advised that we don't recommend that users do this for multiple reasons, but appreciated why they'd want this functionality. They shared that they'd like a feature to do this in the future.",30/07/2024,VolkerWessels UK,UK,User,"Encourages further platform adoption if users are also buying for other people, and keeps it 'above board' considering CH are aware of users doing this already, against advice.",I can imagine maybe having an 'Is this a gift?' option for users in the checkout flow where they could enter a name and email address for the person they want to gift it to - this could also allow CH to have some confidential details for an individual to confirm if they contacted us about an issue with a voucher they were gifted by someone else.,Large Global,160,3700+,Corporate Services,,Sofie White,Perks & Mobile,Under Consideration,Sofie White we had considered allowing a users to share their vouchers with someone else of their choice but this hasn't been prioritised yet. Great shout on having some reference of who it is shared with.,,,,,,
"Birthday automations should include the use of Greeting Cards. For example, this gets automatically created one week prior to bdays and invite everyone from the person's team to add messages to it",31/07/2024,Monoova,AU,Admin,"Increase usability. Another low effort, high impact things that Admin loves","Birthday automations should include the use of Greeting Cards. For example, this gets automatically created one week prior to bdays and invite everyone from the person's team to add messages to it",Simple Domestic,40,75,Financial Services,,Felicia Goutama,Recognition & Rewards,Under Consideration,Felicia Goutama we plan to launch the birthday automaion with a recognition getting triggered on the feed. Noted on the greeting card suggestion.,Hardeep ,,,,,
"A user has been in touch with CH as they were disappointed with the experience after a failed Uber Flexi Perk redemption. They attempted to buy the Perk twice and it failed, and the Perk was then switched offline automatically - but the user felt there wasn't enough information in the error messages to explain whether this was something they could fix (ie, clear cache and cookies, reboot app, etc), or if it was a PB issue (it was, it was a stock driver failure). Also, they mentioned that once the Perk was offline they felt there wasn't enough info to explain WHY the Perk was off (again, was it something on their side or PBs?) - they wanted more info about what was being done to fix the Perk, an expected ETA to expect the Perk back online, and a notification button if it's not fixed in that time.",31/07/2024,Kuda Technologies,Nigeria,User,Better customer experience,"Clearer, more detailed info on error messages, and more visibility around offline Perks. Clearer ETA to expect Perks back online, and a notification bell to alert users when a deal is back on?",Large Global,160,600+,Financial Services,,Sofie White,Perks & Mobile,Under Consideration,"Sofie White this is great input. While we are internally aware of why this issue occurred, I can see why the user might be confused. We will work on improving error messages. ",,,,,,
"I just wanted to mention something that we came across this week on Perkbox that might be a good future improvement for the platform.

I deactivated an account a few weeks ago but had a greeting card scheduled for them to be published this week. It looks like the greeting card wasn't automatically deleted when the account was deactivated. So, then this week the team members who had been invited to add to the greeting card were all sent email reminders to add to the greeting card for someone who no longer works with us.

I'll know to check this for next time, but I thought I'd raise it with you because it could be something to consider in further improvements of the platform. It would be very helpful if scheduled greeting cards are also deactivated when the recipient has been deactivated.",1/8/24,Australian Payments Network,AU,Admin,,scheduled greeting cards or any recognitions are also deactivated when the recipient has been deactivated.,Simple Domestic,,65,Financial Services,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/3640236/conversation/87413502087166?view=List,Felicia Goutama,Recognition & Rewards,Not Priority,Expect limited occurances of this. noted and added to the hygine bucket. ,,,,,,
"Hello! I spoke with a prospect earlier, Thredd who are 200 employees. They are currently an RG customer but are looking to move away from them. They like the PB offering but one thing they were very keen for was some kind of technical functionality which means that for example only some employees on certain salaries could see certain benefits (such as PMI), or another example was a benefit like PMI only becomes visible after 6 months. They have something like with with RG but they did say it fails a lot. I know we can host benefits on PB currently, but do we have any plans to develop this so companies are able to do more than host, so they would be able to add certain rules and customisations so when benefits become visible and who to? ",01/08/24,prospect - Thredd,"UK, USA, Spain, Australia",Prospect,,,Global,,200,Fintech,,Kelly Short,I dont know sorry!,Under Consideration,,,,,,,
Admins states the automamtion of work ani would be better if it said how many years as well as tell users is for a work anniversary - As when they have loads its confusing ,1/8/24,CCL Forensics lts,UK,Admin ,,Allow automation to show on feed its for a work anniversary or birthday ,Complex dom,,154,Cyber security ,,Aneasa Hussain ,Recognition & Rewards,Not Priority,"Aneasa Hussain- noted on the suggestion. Splitting into feeds is not a priority at this time, aware that bonusly has the functionality - shall consiuder as we see a rise in the number of recogntions per tenant. ",,,,,,
"An admin from this tenant has shared some feedback regarding the login process - they log in via SSO which has MFA set up on their account, but since they're an admin, they also have to have MFA on Perkbox. They were only recently updated to have admin permissions, and have shared feedback saying they would have appreciated more context when asked to set up MFA for Perkbox for the first time.",05/08/2024,United Learning,UK,Admin,"Interesting to look into ease-of-login for admins with SSO, and more contextual information to keep admins informed and happy with our security measures.","Copy on the MFA verification pop-up that explains, due to their platform permissions, they must have MFA.",Complex dom,60,7000+,Schools & Education,,Sofie White,Customer Experience,,,,,,,,
"This admin wondered if they could automate their starters and leavers being activated and deactivated on PB without needing to sync with their HR directory - they've had to request to unlink an employee's account with their directory sync since the employee is on garden leave, and is still allowed access to PB but their account on Azure needs deactivating. They asked if they could then automate the deactivation on their last day of employment, even though they won't be synced with their directory by that time.",05/08/2024,RGF Staffing UK,UK,Admin,Helps automate work for admins who aren't/can't sync with a directory.,Potentially an 'activate on [date field]' and a 'deactivate on [date field]' option on an employee's profile on the Admin Hub.,Large Global,120,1000+,Corporate Services,,Sofie White,Customer Experience,,,,,,,,
Admin would like to see whoever has liked a recognition for their reference,6/8/24,Beyond Bank,UK,Admin,,Add a function to see who has liked a recognition by hovering over the like button,Domestic,,250 - 2000,Financial Services,,Bernadette Wong,Recognition & Rewards,Not Priority,,,,,,,
"The new recognition flow makes it difficult for employees to see that they can attach Celebrations and Values. Previously, it felt like a necessary step to complete recognition, but now, with the need to click ""+"" to add these elements, people tend to skip them. Additionally, they would prefer to see Value come first (currently it appears as ""+ Celebration + Value""). Could you consider this feedback in the design of the new Perkbox app? 

It's a very important customer, our superstar in recognitions and the main source of references for our sales team.",07/08/2024,Northcott,AU,Admin,Helps align recognitions with company Values,change layout,Complex dom,,2600,"Civic, Non-Profit and Membership Organizations",,Kate Sukhacheva,Recognition & Rewards,Under Consideration,"%age of recognitions created with a value/celebration associated has increased after we made the change - hence we would not want to go back to what it was previously.

Having value appear first and celebration second - will consider this to figure out broader applicability and also the effort involved to make the change.",,,,,,
"General suggestions; 1) Manager notifications each time an individual in their team is recognised 2) weekly round ups for managers, whereby they receive a scheduled emails each week showing them who in their teams have been recognised, preventing any missed opportunities. 3)slack integrations for recognition similar to the one we have with MSTeams 4) A modifiable reward moment for a client, so that they can name it whatever is applicable to their org 5) FBT reporting - from my experience this has been a critical element for many organisations purchasing decision and a huge admin burdem",07/08,NA,AUS,Manager/admin visibility,"These are all elements that Reward Gateway has and features that are valued by clients, as it is positioned as an empowerment tool for managers thus having a wider impact on retention/heirachy of needs etc - Happy to provide more context if needed",Notifcations and emails,,,,,,Laura O'Connell,Recognition & Rewards,Under Consideration,,,,,,,
"An admin has asked us to enhance the share functionality of our Greeting Cards, as it takes too long for them to add every single person separately. They would like the ability to share with particular teams or the entire company simultaneously. I'm pretty sure this was already shared in the past, but I just wanted to ensure that you're aware such product requests are still being raised.",07/08/2024,Admin - Spirit Healthcare Ltd,UK,Admin,User experience + increase the usage of Greeting Cards,"Adding share functinoalities, just like with polls - particular teams, or every one.",Complex Dom,100,<100,Retail,,Ewelina Dudzik,Recognition & Rewards,Under Consideration,,,,,,,
"We've had a request from our Executives and CEO for the ability to provide a channel for recognising employees ahead of our quarterly/ad hoc townhalls. Our Comms team have provided an interim solution where there is a form to fill in (screenshot below) and they wil colate it all and add to the Townhall global slides. I'm really keen that we can leverage Perkbox for this, is there a way where employees could do this? Does Perkbox allow for this type of recognition? Ideally we want employees to be able to upload a video (upto 15 sec) or attach pictures - I have advised that we are woeking on anonomysed polls which could work well for this kind of recognition. The option for images/video  are something they are really keen for",07/08/24,Wood Mackenzie,Global,Admin,,Adding an option to insert image/video to recognitions/polls,Large Global,180,2500,Corporate Services,,Kerrie Statham,Recognition & Rewards,Under Consideration,,,,,,,
"Birthday / Work anniversary automations should include the use of Greeting Cards. For example, this gets automatically created one week prior to bdays / anniversary and invite everyone from the person's team to add messages to it. This Admin currently use Greeting Cards for their bdays & anniversaries and don't want to use the Automations because then there'll be a double up. They love the greeting cards template but wish this could be part of the automations. ",8/8/24,Australian Payments Network,AU,Admin,"Increase usability. Another low effort, high impact things that Admin loves","Birthday automations should include the use of Greeting Cards. For example, this gets automatically created one week prior to bdays and invite everyone from the person's team to add messages to it",Simple Domestic,,65,Financial Services,,Felicia Goutama,Recognition & Rewards,Under Consideration,,,,,,,
"Complain from the admin regarding Reward POints simplification:

Hi Kate I understand that they are reversible however I feel the communication on this was very poor the emails that was sent looks like marketing material not material to tell us that our points were changing dramatically I also feel that your system should tell us the amount of money not just the points as this is confusing and as you can imagine I'm on maternity leave and one of my staff members has given points to our members at a higherdollar figure then what should've been given we have gone into change emails that haven't used yet I would really appreciate if you could get your team to reverse these charges

I disagreed with the admin's claim about poor communications, reminding them that Perkbox sent multiple emails, intercom messages, banners, and wallet notifications. However, the admin is right that it's currently impossible to see the dollar equivalent when sending reward points. Is it something we can add to our reward floe via admin wallets? ",08/08/2024,Suttons,AU,Admin,more visibility over RP sent in $,ad a message similar to what admins/managers can see when sending RP via recognitions,Complex Dom,,1355,Automotive,,Kate Sukhacheva,Recognition & Rewards,Launched,,,,,,,
"I do try and mention the new perks in our newsletter but if people don't read that they seem not to know about them, perhaps the "new perks" section could be higher up in the app? Just as a potential suggestion for the future.",09/08/2024,optiver,AU,admin,more visibility over new perks,,Large Global,120,450,Financial Services,,Kate Sukhacheva,Perks & Mobile,Under Consideration,"Kate Sukhacheva we already have a new perks lane on the platform. With the impending changes coming to the platform, we're looking to address this too. ",,,,,,
A prospect has asked whether they can scrape recognition data out of Celebration and into their own intranet for better visibility internally via either API or Webhook,9/8/2024,prospect - DEA Aviation,UK,Prospect,,"GD - Could the social feed be RSS Feed compatible, to pull through onto TV screens, iFrames etc?",Domestic,,220,Aviation,,Olly Walker,Recognition & Rewards,Not Priority,,,,,,,
"Customer completed onboarding checklist after activating new account. Wording of ""Complete these actions to unlock exclusive benefits tailored just for you"" felt misleading as this just refers to accessing Perkbox.",12/8/24,Crowne Plaza Canebrra (IHG),AU,User,,"Resolve wording to something along the lines of ""complete these actions to unlock the full potential of Perkbox, tailored just for you""",Domestic,,<100 (part of larger account),Hospitality,https://app.intercom.com/a/inbox/effyqzrr/inbox/admin/6859606/conversation/87413502101604?view=List,Bernadette Wong,Customer Experience,,,,,,,,
Greetings card feedback from the customer: We had thought the greeting card would be actual virtual card with all the signings in it. But it was more of a post with comments and no card.,12/08/2024,Victory Services Club,UK,Admin,"enhancement to greetings card feature that would mean this tenant uses it, they would like a virtual card rather than postings so won't be using it. ",Create a virtual card to open in platform.,Domestic,100,100-250,Hospitality,,Catherine Adamson,Recognition & Rewards,Not Priority,,,,,,,
"Recognitions, specifically those as part of automations, are being shown to the whole tenant rather than just the recipient - the Admin would like the option to edit the visibility of the recognition. ",12/08/2024,Anwyl Construction Company Limited,UK,Admin,New customer using automations for the first time - would like them to be private,Ability to change visibility of recognitions after they have been posted,,,,,,Steve Hanmer,Recognition & Rewards,Not Priority,"Very bespoke need here, will be good for us to understand why they do not want this to be visible on the feed.",,,,,,
"Being able to have an alias for a normal reward transfer. This already exist for automations, but been getting a couple of request for Admins to be able to do a reward transfer on another person's behalf - usually for Exec Team and their PA would do this on their behalf but it comes from them",13/08/2024,"Willow 
Veris Australia",AU,Admin,,"Being able to have an alias for a normal reward transfer. This already exist for automations, but been getting a couple of request for Admins to be able to do a reward transfer on another person's behalf - usually for Exec Team and their PA would do this on their behalf but it comes from them",Global,,"400
300","Financial Services
Engineering",,Felicia Goutama,Recognition & Rewards,,,,,,,,
